logical: 16916, physical: 20, byte value: 0
logical: 62493, physical: 285, byte value: 0
logical: 30198, physical: 758, byte value: 29
logical: 53683, physical: 947, byte value: 108
logical: 40185, physical: 1273, byte value: 0
logical: 28781, physical: 1389, byte value: 0
logical: 24462, physical: 1678, byte value: 23
logical: 48399, physical: 1807, byte value: 67
logical: 64815, physical: 2095, byte value: 75
logical: 18295, physical: 2423, byte value: -35
logical: 12218, physical: 2746, byte value: 11
logical: 22760, physical: 3048, byte value: 0
logical: 57982, physical: 3198, byte value: 56
logical: 27966, physical: 3390, byte value: 27
logical: 54894, physical: 3694, byte value: 53
logical: 38929, physical: 3857, byte value: 0
logical: 32865, physical: 4193, byte value: 0
logical: 64243, physical: 4595, byte value: -68
logical: 2315, physical: 4619, byte value: 66
logical: 64454, physical: 5062, byte value: 62
logical: 55041, physical: 5121, byte value: 0
logical: 18633, physical: 5577, byte value: 0
logical: 14557, physical: 5853, byte value: 0
logical: 61006, physical: 5966, byte value: 59
logical: 62615, physical: 407, byte value: 37
logical: 7591, physical: 6311, byte value: 105
logical: 64747, physical: 6635, byte value: 58
logical: 6727, physical: 6727, byte value: -111
logical: 32315, physical: 6971, byte value: -114
logical: 60645, physical: 7397, byte value: 0
logical: 6308, physical: 7588, byte value: 0
logical: 45688, physical: 7800, byte value: 0
logical: 969, physical: 8137, byte value: 0
logical: 40891, physical: 8379, byte value: -18
logical: 49294, physical: 8590, byte value: 48
logical: 41118, physical: 8862, byte value: 40
logical: 21395, physical: 9107, byte value: -28
logical: 6091, physical: 9419, byte value: -14
logical: 32541, physical: 9501, byte value: 0
logical: 17665, physical: 9729, byte value: 0
logical: 3784, physical: 10184, byte value: 0
logical: 28718, physical: 1326, byte value: 28
logical: 59240, physical: 10344, byte value: 0
logical: 40178, physical: 1266, byte value: 39
logical: 60086, physical: 10678, byte value: 58
logical: 42252, physical: 10764, byte value: 0
logical: 44770, physical: 11234, byte value: 43
logical: 22514, physical: 11506, byte value: 21
logical: 3067, physical: 11771, byte value: -2
logical: 15757, physical: 11917, byte value: 0
logical: 31649, physical: 12193, byte value: 0
logical: 10842, physical: 12378, byte value: 10
logical: 43765, physical: 12789, byte value: 0
logical: 33405, physical: 12925, byte value: 0
logical: 44954, physical: 13210, byte value: 43
logical: 56657, physical: 13393, byte value: 0
logical: 5003, physical: 13707, byte value: -30
logical: 50227, physical: 13875, byte value: 12
logical: 19358, physical: 14238, byte value: 18
logical: 36529, physical: 14513, byte value: 0
logical: 10392, physical: 14744, byte value: 0
logical: 58882, physical: 14850, byte value: 57
logical: 5129, physical: 15113, byte value: 0
logical: 58554, physical: 15546, byte value: 57
logical: 58584, physical: 15576, byte value: 0
logical: 27444, physical: 15668, byte value: 0
logical: 58982, physical: 14950, byte value: 57
logical: 51476, physical: 15892, byte value: 0
logical: 6796, physical: 6796, byte value: 0
logical: 21311, physical: 9023, byte value: -49
logical: 30705, physical: 16369, byte value: 0
logical: 28964, physical: 16420, byte value: 0
logical: 41003, physical: 8747, byte value: 10
logical: 20259, physical: 16675, byte value: -56
logical: 57857, physical: 3073, byte value: 0
logical: 63258, physical: 16922, byte value: 61
logical: 36374, physical: 14358, byte value: 35
logical: 692, physical: 17332, byte value: 0
logical: 43121, physical: 17521, byte value: 0
logical: 48128, physical: 17664, byte value: 0
logical: 34561, physical: 17921, byte value: 0
logical: 49213, physical: 8509, byte value: 0
logical: 36922, physical: 18234, byte value: 36
logical: 59162, physical: 10266, byte value: 57
logical: 50552, physical: 18552, byte value: 0
logical: 17866, physical: 9930, byte value: 17
logical: 18145, physical: 18913, byte value: 0
logical: 3884, physical: 18988, byte value: 0
logical: 54388, physical: 19316, byte value: 0
logical: 42932, physical: 19636, byte value: 0
logical: 46919, physical: 19783, byte value: -47
logical: 58892, physical: 14860, byte value: 0
logical: 8620, physical: 20140, byte value: 0
logical: 38336, physical: 20416, byte value: 0
logical: 64357, physical: 4965, byte value: 0
logical: 23387, physical: 20571, byte value: -42
logical: 42632, physical: 20872, byte value: 0
logical: 15913, physical: 21033, byte value: 0
logical: 15679, physical: 11839, byte value: 79
logical: 22501, physical: 11493, byte value: 0
logical: 37540, physical: 21412, byte value: 0
logical: 5527, physical: 21655, byte value: 101
logical: 63921, physical: 21937, byte value: 0
logical: 62716, physical: 508, byte value: 0
logical: 32874, physical: 4202, byte value: 32
logical: 64390, physical: 4998, byte value: 62
logical: 63101, physical: 22141, byte value: 0
logical: 61802, physical: 22378, byte value: 60
logical: 19648, physical: 22720, byte value: 0
logical: 29031, physical: 16487, byte value: 89
logical: 44981, physical: 13237, byte value: 0
logical: 28092, physical: 3516, byte value: 0
logical: 9448, physical: 23016, byte value: 0
logical: 44744, physical: 11208, byte value: 0
logical: 61496, physical: 23096, byte value: 0
logical: 31453, physical: 23517, byte value: 0
logical: 60746, physical: 23626, byte value: 59
logical: 12199, physical: 2727, byte value: -23
logical: 62255, physical: 23855, byte value: -53
logical: 21793, physical: 24097, byte value: 0
logical: 26544, physical: 24496, byte value: 0
logical: 14964, physical: 24692, byte value: 0
logical: 41462, physical: 25078, byte value: 40
logical: 56089, physical: 25113, byte value: 0
logical: 52038, physical: 25414, byte value: 50
logical: 47982, physical: 25710, byte value: 46
logical: 59484, physical: 25948, byte value: 0
logical: 50924, physical: 26348, byte value: 0
logical: 6942, physical: 26398, byte value: 6
logical: 34998, physical: 26806, byte value: 34
logical: 27069, physical: 27069, byte value: 0
logical: 51926, physical: 27350, byte value: 50
logical: 60645, physical: 7397, byte value: 0
logical: 43181, physical: 17581, byte value: 0
logical: 10559, physical: 27455, byte value: 79
logical: 4664, physical: 27704, byte value: 0
logical: 28578, physical: 28066, byte value: 27
logical: 59516, physical: 25980, byte value: 0
logical: 38912, physical: 3840, byte value: 0
logical: 63562, physical: 28234, byte value: 62
logical: 64846, physical: 2126, byte value: 63
logical: 62938, physical: 28634, byte value: 61
logical: 27194, physical: 28730, byte value: 26
logical: 28804, physical: 1412, byte value: 0
logical: 61703, physical: 22279, byte value: 65
logical: 10998, physical: 12534, byte value: 10
logical: 6596, physical: 29124, byte value: 0
logical: 37721, physical: 29273, byte value: 0
logical: 43430, physical: 29606, byte value: 42
